condition,scenario_id,layout,task_type,instruction_style,expected_status,predicted_status,task_success,primary_failure,api_error,empty_response,planner_solvable,val_valid,vlm_latency_seconds,planner_latency_seconds,val_latency_seconds,plan_length,plan_cost
normal,scenario_001,baseline,navigation,precise,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,1.297531642994727,,,,
normal,scenario_002,baseline,navigation,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,17.62207812500128,,,,
normal,scenario_003,baseline,navigation,novel,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.28608083599829,,,,
normal,scenario_004,baseline,retrieval,precise,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.41884546999063,,,,
normal,scenario_005,baseline,retrieval,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,30.46133665299567,,,,
normal,scenario_006,baseline,retrieval,novel,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.440916425999603,,,,
normal,scenario_007,baseline,multi_step,precise,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.195489962003194,,,,
normal,scenario_008,baseline,multi_step,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,31.179759271995863,,,,
normal,scenario_009,baseline,multi_step,novel,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.03707805700833,,,,
normal,scenario_010,layout_2,navigation,precise,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.037750055009383,,,,
normal,scenario_011,layout_2,navigation,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,31.053680607001297,,,,
normal,scenario_012,layout_2,navigation,novel,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.163633788004518,,,,
normal,scenario_013,layout_2,retrieval,precise,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.16003377099696,,,,
normal,scenario_014,layout_2,retrieval,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,31.12595292199694,,,,
normal,scenario_015,layout_2,retrieval,novel,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.15320861399232,,,,
normal,scenario_016,layout_2,multi_step,precise,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.470144917999278,,,,
